일시,기온,강수량(mm),습도,적설(cm),전운량(10분위),일조(hr),일사량,태양광 설비용량(MW),태양광 발전량(MWh)
2020-01-01 00:00,2.4,0,63,0,9,0,0,263.225,0
2020-01-01 01:00,2.6,0,63,0,9,0,0,263.225,0
2020-01-01 02:00,2.7,0,68,0,9,0,0,263.225,0
2020-01-01 03:00,3.2,0,69,0,9,0,0,263.225,0
2020-01-01 04:00,3,0,65,0,9,0,0,263.225,0
2020-01-01 05:00,3.3,0,64,0,9,0,0,263.225,0
2020-01-01 06:00,3.2,0,67,0,9,0,0,263.225,0
2020-01-01 07:00,3.2,0,64,0,9,0,0,263.225,0.18
2020-01-01 08:00,3.3,0,63,0,9,0,0,263.225,12.73
2020-01-01 09:00,3.9,0,63,0,9,0,0.08,263.225,51.49
2020-01-01 10:00,4.1,0,62,0,9,0,0.2,263.225,96.16
2020-01-01 11:00,4.6,0,61,0,9,0,0.43,263.225,131.46
2020-01-01 12:00,5.1,0,59,0,9,0,0.65,263.225,146.45
2020-01-01 13:00,5.4,0,59,0,9,0,0.72,263.225,135.97
2020-01-01 14:00,6.1,0,58,0,9,0.1,0.95,263.225,93.28
2020-01-01 15:00,5.9,0,61,0,9,0,0.5,263.225,53.84
2020-01-01 16:00,6.2,0,61,0,9,0,0.2,263.225,21.63
2020-01-01 17:00,6.4,0,63,0,9,0,0.13,263.225,5.69
2020-01-01 18:00,6.5,0,61,0,9,0,0,263.225,4.61
2020-01-01 19:00,6.6,0,62,0,9,0,0,263.225,4.27
2020-01-01 20:00,6.7,0,62,0,9,0,0,263.225,1.33
2020-01-01 21:00,6.8,0,61,0,9,0,0,263.225,0.53
2020-01-01 22:00,6.8,0,60,0,9,0,0,263.225,0
2020-01-01 23:00,6.7,0,62,0,9,0,0,263.225,0
2020-01-02 00:00,6.8,0,62,0,9,0,0,263.225,0
2020-01-02 01:00,6.7,0,63,0,9,0,0,263.225,0
2020-01-02 02:00,6.6,0,65,0,7,0,0,263.225,0
2020-01-02 03:00,6.1,0,67,0,8,0,0,263.225,0
2020-01-02 04:00,5.7,0,68,0,9,0,0,263.225,0
2020-01-02 05:00,6.3,0,68,0,9,0,0,263.225,0
2020-01-02 06:00,6.8,0,66,0,9,0,0,263.225,0
2020-01-02 07:00,6.9,0,66,0,8,0,0,263.225,0.52
2020-01-02 08:00,7,0,67,0,9,0,0,263.225,16.19
2020-01-02 09:00,7.9,0,66,0,9,0,0.09,263.225,37.97
2020-01-02 10:00,8.4,0,65,0,9,0,0.19,263.225,53.23
2020-01-02 11:00,8.8,0,63,0,9,0,0.34,263.225,33.57
2020-01-02 12:00,8.9,0,66,0,10,0,0.31,263.225,33.12
2020-01-02 13:00,9.1,0,65,0,10,0,0.32,263.225,36.4
2020-01-02 14:00,9,0,69,0,10,0,0.29,263.225,39
2020-01-02 15:00,9.1,0,69,0,10,0,0.27,263.225,25.86
2020-01-02 16:00,9.1,0,69,0,10,0,0.22,263.225,8.31
2020-01-02 17:00,9,0,69,0,10,0,0.12,263.225,4.09
2020-01-02 18:00,8.9,0,66,0,7,0,0.02,263.225,0.73
2020-01-02 19:00,8.6,0,66,0,3,0,0,263.225,1.07
2020-01-02 20:00,8.5,0,66,0,6,0,0,263.225,0.39
2020-01-02 21:00,8.7,0,66,0,7,0,0,263.225,0.02
2020-01-02 22:00,8.7,0,65,0,7,0,0,263.225,0
2020-01-02 23:00,8.6,0,69,0,5,0,0,263.225,0
2020-01-03 00:00,8.1,0,68,0,6,0,0,263.225,0
2020-01-03 01:00,8.4,0,67,0,8,0,0,263.225,0
2020-01-03 02:00,8.2,0,66,0,9,0,0,263.225,0
2020-01-03 03:00,7.8,0,68,0,9,0,0,263.225,0
2020-01-03 04:00,8.5,0,68,0,9,0,0,263.225,0
2020-01-03 05:00,8.7,0,67,0,9,0,0,263.225,0
2020-01-03 06:00,8.3,0,69,0,9,0,0,263.225,0
2020-01-03 07:00,8.4,0,70,0,9,0,0,263.225,0.39
2020-01-03 08:00,8.7,0,69,0,9,0,0,263.225,16.2
2020-01-03 09:00,9.4,0,67,0,9,0,0.08,263.225,30.46
2020-01-03 10:00,9.9,0,68,0,9,0,0.27,263.225,57.44
2020-01-03 11:00,10.7,0,67,0,5,0.2,0.74,263.225,80.82
2020-01-03 12:00,11.1,0,63,0,8,0.3,1.08,263.225,86.1
2020-01-03 13:00,10.4,0,62,0,10,0,0.82,263.225,84.41
2020-01-03 14:00,10.6,0,63,0,8,0,0.9,263.225,86.91
2020-01-03 15:00,10,0,67,0,8,0,0.59,263.225,52.41
2020-01-03 16:00,9.8,0,66,0,9,0,0.29,263.225,18.31
2020-01-03 17:00,9.4,0,66,0,7,0,0.17,263.225,5.79
2020-01-03 18:00,9,0,65,0,4,0,0.02,263.225,3.09
2020-01-03 19:00,8.9,0,63,0,5,0,0,263.225,1.26
2020-01-03 20:00,8.8,0,67,0,7,0,0,263.225,0.95
2020-01-03 21:00,8,0,64,0,3,0,0,263.225,0.11
2020-01-03 22:00,7.8,0,69,0,1,0,0,263.225,0.07
2020-01-03 23:00,7.4,0,70,0,0,0,0,263.225,0.03
2020-01-04 00:00,6.4,0,72,0,1,0,0,263.225,0
2020-01-04 01:00,5.8,0,74,0,0,0,0,263.225,0
2020-01-04 02:00,5.5,0,74,0,5,0,0,263.225,0
2020-01-04 03:00,5.4,0,74,0,2,0,0,263.225,0
2020-01-04 04:00,5.2,0,75,0,2,0,0,263.225,0
2020-01-04 05:00,5.1,0,75,0,2,0,0,263.225,0
2020-01-04 06:00,5.4,0,75,0,1,0,0,263.225,0
2020-01-04 07:00,5.8,0,74,0,2,0,0,263.225,0.58
2020-01-04 08:00,5.9,0,73,0,6,0,0.01,263.225,21.08
2020-01-04 09:00,6.7,0,70,0,4,0.1,0.18,263.225,80.77
2020-01-04 10:00,8.9,0,64,0,6,0.6,0.75,263.225,122.61
2020-01-04 11:00,10.1,0,62,0,5,0.3,0.92,263.225,150.94
2020-01-04 12:00,10.2,0,60,0,4,0.6,1.44,263.225,175.35
2020-01-04 13:00,10.7,0,59,0,1,1,2.03,263.225,175.63
2020-01-04 14:00,11.3,0,57,0,1,1,1.84,263.225,150.31
2020-01-04 15:00,10.8,0,56,0,3,0.8,1.38,263.225,102.53
2020-01-04 16:00,10.4,0,58,0,2,0.9,1.05,263.225,35.21
2020-01-04 17:00,9.6,0,59,0,2,0.8,0.46,263.225,6.86
2020-01-04 18:00,9.2,0,62,0,1,0,0.04,263.225,4.62
2020-01-04 19:00,9,0,63,0,0,0,0,263.225,4.32
2020-01-04 20:00,9,0,64,0,0,0,0,263.225,1.5
2020-01-04 21:00,8.3,0,66,0,0,0,0,263.225,0.63
2020-01-04 22:00,8.4,0,65,0,0,0,0,263.225,0.05
2020-01-04 23:00,7.4,0,68,0,1,0,0,263.225,0
