Date,Temp,Rainfall,Humidity,Total_Cloud_Cover ,Average_Wind_Speed,Average_Gust_Speed,Wind_Power_Capacity,Wind_Power_Generation
2020-01-01 0:00,0.9,,67,8,2.2,270,,147.164
2020-01-01 1:00,0.9,,67,8,2.4,270,,114.776
2020-01-01 2:00,1.3,,68,9,1.7,290,,108.452
2020-01-01 3:00,1.4,,67,9,2.2,320,,128.533
2020-01-01 4:00,1.6,,68,9,1.7,270,,114.624
2020-01-01 5:00,1.7,,66,9,2.2,90,,119.345
2020-01-01 6:00,1.9,,64,8,2,110,,106.738
2020-01-01 7:00,2,,63,9,2.3,230,,109.262
2020-01-01 8:00,2.3,,63,8,1.8,70,,96.804
2020-01-01 9:00,3.4,,60,7,1.8,270,,106.978
2020-01-01 10:00,3.7,,60,9,3.1,110,,115.449
2020-01-01 11:00,4.6,,57,7,3,50,,113.46
2020-01-01 12:00,5.4,,56,6,3.2,50,,92.388
2020-01-01 13:00,5.8,,55,,4.1,340,,82.683
2020-01-01 14:00,5.9,,55,7,3.8,250,,77.435
2020-01-01 15:00,5.8,,57,8,3.9,270,,98.188
2020-01-01 16:00,5.8,,59,7,4.3,270,,115.832
2020-01-01 17:00,5.3,,62,4,3.9,180,,85.207
2020-01-01 18:00,4.9,,64,8,2.8,20,,80.352
2020-01-01 19:00,5.2,,65,7,1.5,20,,77.486
2020-01-01 20:00,4.9,,65,8,1.5,320,,67.555
2020-01-01 21:00,4.7,,66,9,1.3,70,,59.868
2020-01-01 22:00,3.7,,71,0,1.4,50,,62.058
2020-01-01 23:00,4.3,,70,8,1.5,90,,65.877
2020-01-02 0:00,5.1,,69,9,1.8,110,,55.083
2020-01-02 1:00,5.3,,69,8,1.5,50,,42.291
2020-01-02 2:00,4.6,,73,7,1.7,180,,31.849
2020-01-02 3:00,4.2,,72,5,2.1,180,,29.339
2020-01-02 4:00,4.3,,71,3,2.4,180,,53.423
2020-01-02 5:00,5.8,,66,9,2.6,340,,60.917
2020-01-02 6:00,5.6,,67,7,2.6,360,,49.21
2020-01-02 7:00,5.4,,68,6,2.6,70,,39.14
2020-01-02 8:00,5.6,,68,7,2.6,180,,24.951
2020-01-02 9:00,7.7,,64,7,1.3,70,,27.781
2020-01-02 10:00,8.5,,62,8,1.8,140,,28.476
2020-01-02 11:00,8.8,,61,7,2.3,110,,30.968
2020-01-02 12:00,8.7,,64,9,2,290,,30.327
2020-01-02 13:00,8.5,,64,,2.2,140,,38.399
2020-01-02 14:00,8.4,,66,9,2.5,290,,27.281
2020-01-02 15:00,8.9,,67,9,2.3,160,,36.007
2020-01-02 16:00,8.6,,67,10,2.4,200,,61.487
2020-01-02 17:00,8.5,,69,,2.7,200,,83.558
2020-01-02 18:00,8.1,,70,,2.2,340,,72.079
2020-01-02 19:00,6.5,,75,5,1.5,250,,63.024
2020-01-02 20:00,6.3,,74,3,2.1,340,,70.284
2020-01-02 21:00,7,,70,4,2.9,180,,101.223
2020-01-02 22:00,4.2,,82,4,0.9,340,,96.358
2020-01-02 23:00,5.7,,76,4,1.7,360,,69.254
2020-01-03 0:00,5.6,,74,3,2.3,70,,67.968
2020-01-03 1:00,4.9,,77,8,2.6,140,,65.601
2020-01-03 2:00,5.9,,73,10,1.7,20,,66.994
2020-01-03 3:00,6.1,,72,9,2.1,270,,100.656
2020-01-03 4:00,6.4,,73,10,1.9,50,,101.435
2020-01-03 5:00,7.2,,70,9,2.1,360,,91.995
2020-01-03 6:00,7.3,,69,10,1.4,20,,78.199
2020-01-03 7:00,7,,73,10,0.9,50,,56.379
2020-01-03 8:00,6.6,,77,9,0.6,90,,44.019
2020-01-03 9:00,9.4,,67,8,1.5,360,,44.422
2020-01-03 10:00,10.3,,62,9,1.6,70,,42.764
2020-01-03 11:00,10.4,,62,6,2.3,70,,58.18
2020-01-03 12:00,11.4,,60,,3.6,50,,82.871
2020-01-03 13:00,10.8,,60,7,3,20,,94.764
2020-01-03 14:00,10.2,,62,7,3.5,70,,81.112
2020-01-03 15:00,10.9,,58,5,4,270,,113.56
2020-01-03 16:00,9.9,,61,,4.5,360,,149.357
2020-01-03 17:00,9.1,,66,,4.2,270,,137.695
2020-01-03 18:00,7.9,,67,,2.2,290,,137.389
2020-01-03 19:00,7.6,,67,,2.8,340,,132.513
2020-01-03 20:00,7.4,,67,5,2.9,140,,116.049
2020-01-03 21:00,6.7,,68,,2.8,70,,95.475
2020-01-03 22:00,6.2,,72,0,2.4,140,,90.265
2020-01-03 23:00,5.7,,72,3,2.3,70,,101.373
2020-01-04 0:00,5.8,,73,1,2.1,200,,104.255
2020-01-04 1:00,5.4,,74,0,1.9,290,,89.746
2020-01-04 2:00,5.1,,75,1,1.2,290,,75.62
2020-01-04 3:00,5.2,,75,1,1.3,270,,76.142
2020-01-04 4:00,5.5,,73,3,3,360,,79.572
2020-01-04 5:00,4.7,,77,4,1.7,250,,87.4
2020-01-04 6:00,4.5,,77,4,1.4,290,,77.842
2020-01-04 7:00,4.3,,78,0,1.7,230,,97.212
2020-01-04 8:00,4.8,,75,0,2.2,270,,75.33
2020-01-04 9:00,6.6,,70,3,1.9,180,,54.436
2020-01-04 10:00,8.4,,63,4,2.3,50,,66.859
2020-01-04 11:00,9.5,,61,4,2.8,270,,80.266
2020-01-04 12:00,10.4,,56,1,2.6,360,,58.71
2020-01-04 13:00,11.2,,52,0,2.5,340,,47.217
