datetime,기온(°C),강수량(mm),습도(%),현지기압(hPa),일조(hr),일사(MJ/m2),적설(cm),전운량(10분위),시정(10m),solar_power(MWh)
2019-12-01 0:00,12.5,0.1,81,1023.5,,,,10,2000,0.05
2019-12-01 1:00,12.5,,82,1023.1,,,,10,1959,0.051
2019-12-01 2:00,12.5,,83,1022.6,,,,10,1612,0.051
2019-12-01 3:00,12.6,0,79,1022.1,,,,10,2000,0.051
2019-12-01 4:00,12.2,,80,1021.3,,,,10,2000,0.052
2019-12-01 5:00,12.2,,79,1021,,,,10,2000,0.051
2019-12-01 6:00,12,0,82,1020.6,,,,10,1348,0.048
2019-12-01 7:00,11.6,,88,1020.2,,,,10,1066,0.34
2019-12-01 8:00,11.5,,88,1020.1,0,0,,10,1167,2.471
2019-12-01 9:00,11.7,0.8,90,1019.8,0,0.04,,10,1660,6.132
2019-12-01 10:00,11.8,,91,1019.4,0,0.15,,10,1654,8.495
2019-12-01 11:00,11.9,,91,1018.4,0,0.18,,10,1650,9.071
2019-12-01 12:00,12.1,2.5,91,1016.8,0,0.2,,10,1919,9.423
2019-12-01 13:00,12.6,,94,1016,0,0.18,,10,908,6.655
2019-12-01 14:00,12.9,,95,1014.8,0,0.15,,10,1581,5.966
2019-12-01 15:00,13.2,6.5,95,1013.5,0,0.11,,10,1189,2.977
2019-12-01 16:00,13.7,,96,1012.2,0,0.06,,10,1043,1.291
2019-12-01 17:00,14.2,,97,1011.3,0,0.05,,10,1481,0.201
2019-12-01 18:00,15.1,8,94,1011.1,0,0.01,,10,2000,0.048
2019-12-01 19:00,12.2,,95,1013,,,,10,1100,0.049
2019-12-01 20:00,11.7,,93,1014.3,,,,10,445,0.054
2019-12-01 21:00,12,0.7,91,1014.7,,,,10,1942,0.051
2019-12-01 22:00,11.3,,87,1015.3,,,,10,2000,0.053
2019-12-01 23:00,11.3,,78,1016.1,,,,10,2000,0.049
2019-12-02 0:00,11.1,0.4,74,1016.4,,,,9,2000,0.052
2019-12-02 1:00,11.1,,73,1016.5,,,,10,2000,0.051
2019-12-02 2:00,11.4,,78,1016.5,,,,10,2000,0.049
2019-12-02 3:00,11.6,,74,1016.3,,,,9,2000,0.051
2019-12-02 4:00,11.6,,75,1016.4,,,,10,2000,0.051
2019-12-02 5:00,11,,72,1017,,,,10,2000,0.052
2019-12-02 6:00,10.6,,68,1018.1,,,,10,2000,0.047
2019-12-02 7:00,10.2,,65,1018.6,,,,10,2000,0.911
2019-12-02 8:00,10.1,,62,1019.1,0,0,,10,2000,12.369
2019-12-02 9:00,10.1,,64,1019.7,0,0.01,,10,1893,38.229
2019-12-02 10:00,9.9,,69,1020.3,0,0.1,,10,1787,31.948
2019-12-02 11:00,10.7,,61,1020,0,0.2,,9,2000,69.247
2019-12-02 12:00,11.2,0,57,1020.1,0.2,0.86,,8,2000,114.599
2019-12-02 13:00,10.3,,67,1020,0.3,0.94,,8,2000,107.596
2019-12-02 14:00,10.7,,54,1019.9,0.3,0.93,,5,2000,79.893
2019-12-02 15:00,10,,51,1020,0.1,0.44,,9,2000,26.282
