날짜,1시,2시,3시,4시,5시,6시,7시,8시,9시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시
2019-12-01,0.05,0.051,0.051,0.051,0.052,0.051,0.048,0.34,2.471,6.132,8.495,9.071,9.423,6.655,5.966,2.977,1.291,0.201,0.048,0.049,0.054,0.051,0.053,0.049
2019-12-02,0.052,0.051,0.049,0.051,0.051,0.052,0.047,0.911,12.369,38.229,31.948,69.247,114.599,107.596,79.893,26.282,6.602,0.13,0.056,0.104,0.058,0.053,0.052,0.053
2019-12-03,0.053,0.053,0.053,0.053,0.049,0.052,0.047,0.441,9.699,15.277,20.759,25.741,37.777,73.152,48.166,27.152,6.364,0.018,0.098,0.04,0.053,0.055,0.053,0.053
2019-12-04,0.052,0.052,0.046,0.05,0.048,0.05,0.047,1.95,28.319,90.407,108.034,99.178,88.771,74.914,56.123,40.061,13.311,0.068,0,0.097,0.07,0.053,0.072,0.054
2019-12-05,0.055,0.049,0.049,0.051,0.051,0.05,0.051,1.015,27.192,53.091,39.958,48.529,70.082,84.444,68.821,41.614,12.459,0.277,0.136,0.047,0.039,0.062,0.052,0
2019-12-06,0.052,0.041,0.049,0.049,0.047,0.05,0.051,0.471,9.126,23.584,46.163,57.547,67.546,75.487,53.143,34.156,9.801,0.284,0.141,0.054,0.077,0.062,0.064,0.064
2019-12-07,0.056,0.051,0.05,0.048,0.052,0.047,0.048,1.135,19.569,49.444,82.12,121.252,154.211,158.447,101.872,55.338,16.172,0.29,0,0.102,0.068,0.06,0.053,0.053
2019-12-08,0.055,0.055,0.052,0.054,0.055,0.054,0.054,1.665,24.757,67.281,94.846,127.268,141.34,136.247,102.858,62.677,17.887,0.671,0,0.051,0.136,0.071,0.057,0.055
2019-12-09,0.058,0.047,0.055,0.055,0.053,0.055,0.054,1.825,27.836,79.583,107.872,131.867,146.394,124.522,92.5,55.639,19.166,0.99,0,0.041,0.084,0.072,0.056,0
2019-12-10,0.05,0.053,0.046,0.05,0.049,0.048,0.05,1.497,27.615,79.797,111.962,125.345,127.611,108.183,94.192,58.094,16.733,0.47,0,0.038,0.083,0.075,0.057,0.055
2019-12-11,0.052,0.054,0.054,0.051,0.052,0.051,0.054,0.839,22.82,70.79,116.287,133.918,145.95,139.642,96.888,38.793,7.899,0.17,0,0.052,0.068,0.07,0.057,0.054
2019-12-12,0.054,0.054,0.054,0.053,0.052,0.053,0.049,0.535,14.455,57.57,115.473,148.689,166.782,165.668,137.697,84.495,22.207,0.838,0,0.025,0.078,0.076,0.061,0.057
2019-12-13,0.056,0.054,0.058,0.056,0.057,0.053,0.056,1.562,26.133,71.351,102.191,102.209,93.602,105.174,103.723,65.136,19.41,1.117,0,0.031,0.088,0.069,0.058,0.052
2019-12-14,0.054,0.053,0.053,0.052,0.05,0.051,0.051,1.204,15.567,34.568,68.015,113.534,155.62,131.054,114.346,58.178,20.337,0.993,0,0.025,0.079,0.069,0.058,0.054
2019-12-15,0.055,0.053,0.049,0.05,0.051,0.049,0.05,0.958,16.299,50.518,69.355,72.527,60.557,58.992,47.337,28.035,9.068,0.186,0,0.03,0.091,0.066,0.051,0.05
2019-12-16,0.047,0.05,0.049,0.047,0.049,0.047,0.049,0.822,17.828,66.483,110.622,124.582,125.565,105.309,70.929,44.524,8.546,0.311,0,0.028,0.071,0.07,0.053,0.05
2019-12-17,0.05,0.049,0.048,0.046,0.047,0.048,0.048,0.306,10.246,33.229,22.224,16.769,27.207,32.522,19.983,8.578,2.644,0.173,0.061,0.058,0.06,0.063,0.061,0.061
2019-12-18,0.061,0.055,0.05,0.048,0.048,0.048,0.049,0.39,9.214,35.621,80.952,126.341,149.018,141.098,119.186,74.576,20.591,0.769,0,0.034,0.078,0.067,0.055,0.054
2019-12-19,0.049,0.053,0.051,0.047,0.045,0.047,0.048,1.057,19.119,51.31,81.548,59.303,99.784,90.273,50.473,52.154,11.617,0.496,0.101,0.014,0.06,0.056,0.055,0.054
