사업명,년도,월,발전량(MWh)
화순풍력,2018,01,2834.8
화순풍력,2018,02,2947.5
화순풍력,2018,03,1675.0
화순풍력,2018,04,2562.3
화순풍력,2018,05,2312.4
화순풍력,2018,06,992.6
화순풍력,2018,07,1258.0
화순풍력,2018,08,1643.0
화순풍력,2018,09,1448.0
화순풍력,2018,10,2892.0
화순풍력,2018,11,1547.0
화순풍력,2018,12,3301.0
화순풍력,2019,01,3363.5
화순풍력,2019,02,2533.5
화순풍력,2019,03,3043.6
화순풍력,2019,04,1802.4
화순풍력,2019,05,2491.8
화순풍력,2019,06,707.4
화순풍력,2019,07,1807.8
화순풍력,2019,08,1087.3
화순풍력,2019,09,1124.3
화순풍력,2019,10,1624.4
화순풍력,2019,11,2732.7
화순풍력,2019,12,2845.2
화순풍력,2020,01,3316.2
화순풍력,2020,02,2507.1
화순풍력,2020,03,2674.2
화순풍력,2020,04,2707.8
화순풍력,2020,05,2027.6
화순풍력,2020,06,1427.8
화순풍력,2020,07,1752.6
화순풍력,2020,08,2510.0
화순풍력,2020,09,1092.9
화순풍력,2020,10,2271.0
화순풍력,2020,11,2325.0
화순풍력,2020,12,2300.0
