ÀÏ½Ã,°¡½Ã¸®Ç³·Â,±è³çÇ³·Â,µ¿º¹Ç³·Â,½ÅÃ¢Ç³·Â,Çà¿øÇ³·Â,Ç³·ÂÀüÃ¼
2024-07-01,10457,506,14947,3751,5919,35581
2024-07-02,134447,4246,227952,18776,61997,447418
2024-07-03,80185,596,22954,6371,19968,130073
2024-07-04,47399,145,230,6216,1421,55411
2024-07-05,17814,628,8035,2977,5159,34613
2024-07-06,152512,920,9590,13237,52099,228358
2024-07-07,110101,1220,25286,10704,26801,174112
2024-07-08,113439,712,9130,9989,8196,141465
2024-07-09,166815,2316,35395,12494,17106,234126
2024-07-10,82489,2505,81043,7704,24609,198350
2024-07-11,22702,818,16416,63,10867,50866
2024-07-12,3109,136,5587,53,1533,10418
2024-07-13,12108,1588,51235,6423,19616,90970
2024-07-14,7433,1186,30643,1686,15530,56478
2024-07-15,15157,622,15206,4020,6195,41201
2024-07-16,73930,1479,27274,7301,27409,137392
2024-07-17,118403,3847,136656,13424,42847,315176
2024-07-18,94238,3760,105725,8825,38273,250820
2024-07-19,41443,411,14544,4268,8558,69225
2024-07-20,94035,1985,17654,10614,35754,160042
2024-07-21,49332,1383,24422,3721,19848,98705
2024-07-22,83016,1702,67853,8848,28038,189457
2024-07-23,87686,2762,83606,7826,44227,226108
2024-07-24,47717,1497,55584,6012,19942,130752
2024-07-25,85707,2969,159782,11387,33235,293081
2024-07-26,149594,5016,277171,14960,47982,494723
2024-07-27,171991,4155,227520,13854,50750,468270
2024-07-28,85545,3313,144230,10388,35516,278993
2024-07-29,18953,262,259,2636,2993,25103
2024-07-30,1050,895, - ,745,10834,13524
2024-07-31,23160,190, - ,3201,3528,30079
2024-08-01,35754,708, - ,4084,6893,47439
2024-08-02,6756,86,1843,1124,318,10128
2024-08-03,197,93,576,142,134,1143
2024-08-04,854,87,1181, - ,1242,3363
2024-08-05,2589,732,11261,10,4994,19586
2024-08-06,658,507,19296,247,5584,26292
2024-08-07,1650,105,173,455,38,2421
2024-08-08,11788,206,6250,134,4926,23304
2024-08-09,6948,128,317,19,367,7778
2024-08-10,17,358,10483,253,2332,13443
2024-08-11,642,1169,26064,419,6628,34922
2024-08-12,922,520,18720,221, - ,20382
2024-08-13,12152,1027,30010,1153, - ,44342
2024-08-14,4455,797,25718,1297, - ,32268
2024-08-15,2369,432,10166,587, - ,13555
2024-08-16,4177,381,9821,810, - ,15189
2024-08-17,2965,585,15552,872, - ,19975
2024-08-18,6922,1508,26726,1201, - ,36357
2024-08-19,2205,818,24941,855, - ,28818
2024-08-20,122283,2845,203645,10257, - ,339030
2024-08-21,76461,2458,127814,10060, - ,216794
2024-08-22,59878,2177,117302,6457, - ,185814
2024-08-23,2550,252,10829,65, - ,13696
2024-08-24,235,102,1094,287, - ,1718
2024-08-25,9059,92,29,640, - ,9820
2024-08-26,2107,120,3427,129, - ,5782
2024-08-27,9634,1847,58752,2026, - ,72259
2024-08-28,155606,2517,452189,13333, - ,623646
2024-08-29,135359,2938,157334,10585, - ,306215
2024-08-30,133906,4371,94378,10451,9359,252464
2024-08-31,110942,4810,130378,8733,26792,281655
2024-09-01,22,280,11146,4,1576,13026
2024-09-02,2105,104,5098, - ,1036,8342
2024-09-03,2442,2740,61834,844,17099,84958
2024-09-04,8152,3110,72893,841,23812,108807
2024-09-05,72,781,13018,299,1120,15289
2024-09-06,1064,214,4378,138,1452,7247
2024-09-07,2336,233,2246,669,1315,6799
2024-09-08,361,159,5242,93,4,5859
2024-09-09,8719,1542,44611,820,9275,64968
2024-09-10,29236,3430,123984,2010,35942,194603
2024-09-11,33828,1590,118541,4329,19790,178078
2024-09-12,17849,1189,85018,2791,13172,120019
2024-09-13,48,191,11030,254,197,11720
2024-09-14,17388,174,5674,2744,730,26709
2024-09-15,54444,4791,156038,3185,29051,247509
2024-09-16,30100,853,99101,1959,10343,142356
2024-09-17,626,120,5357,264,323,6690
2024-09-18,2938,680,24710,540,1362,30230
2024-09-19,63936,3119,140256,9957,39718,256985
2024-09-20,106132,3511,227462,13657,48545,399308
2024-09-21,164461,4182,215539,17228,56338,457748
2024-09-22,99685,4874,108288,14959,42552,270358
2024-09-23,79697,6454,361411,9320,38684,495566
2024-09-24,21419,3266,93312,2458,24268,144723
2024-09-25,16838,3840,84643,1850,24235,131406
2024-09-26,15607,268,5616,1488,1491,24470
2024-09-27,76140,558,11981,8981,3481,101141
2024-09-28,41203,3931,132278,3171,21703,202286
2024-09-29,76848,9560,322042,2063,27420,437933
2024-09-30,7180,3380,63360,34,9328,83281
