date,hour,windpower
2019-12-01,1,27.846
2019-12-01,2,25.029
2019-12-01,3,15.999
2019-12-01,4,19.121
2019-12-01,5,15.923
2019-12-01,6,19.868
2019-12-01,7,26.426
2019-12-01,8,27.567
2019-12-01,9,18.562
2019-12-01,10,19.359
2019-12-01,11,15.759
2019-12-01,12,9.918
2019-12-01,13,9.179
2019-12-01,14,5.546
2019-12-01,15,7.212
2019-12-01,16,15.67
2019-12-01,17,28.882
2019-12-01,18,43.144
2019-12-01,19,63.484
2019-12-01,20,184.362
2019-12-01,21,200.162
2019-12-01,22,169.88
2019-12-01,23,186.972
2019-12-01,24,231.933
2019-12-02,1,256.605
2019-12-02,2,245.428
2019-12-02,3,228.624
2019-12-02,4,229.361
2019-12-02,5,226.257
2019-12-02,6,242.204
2019-12-02,7,226.189
2019-12-02,8,209.256
2019-12-02,9,188.624
2019-12-02,10,186.859
2019-12-02,11,172.076
2019-12-02,12,189.128
2019-12-02,13,202.668
2019-12-02,14,190.484
2019-12-02,15,214.174
2019-12-02,16,223.181
2019-12-02,17,207.106
2019-12-02,18,201.855
2019-12-02,19,189.488
2019-12-02,20,189.725
2019-12-02,21,181.907
2019-12-02,22,195.703
2019-12-02,23,209.707
2019-12-02,24,221.158
2019-12-03,1,211.602
2019-12-03,2,180.26
2019-12-03,3,156.689
2019-12-03,4,135.158
2019-12-03,5,100.972
2019-12-03,6,82.452
2019-12-03,7,89.405
2019-12-03,8,71.138
2019-12-03,9,58.828
2019-12-03,10,34.982
2019-12-03,11,24.065
2019-12-03,12,24.666
2019-12-03,13,41.796
2019-12-03,14,72.187
2019-12-03,15,77.223
2019-12-03,16,62.469
2019-12-03,17,69.759
2019-12-03,18,47.194
2019-12-03,19,53.583
2019-12-03,20,50.896
2019-12-03,21,37.266
2019-12-03,22,29.003
2019-12-03,23,31.032
2019-12-03,24,28.006
2019-12-04,1,31.477
2019-12-04,2,43.374
2019-12-04,3,56.503
2019-12-04,4,59.748
2019-12-04,5,63.38
2019-12-04,6,69.384
2019-12-04,7,73.544
2019-12-04,8,50.998
2019-12-04,9,24.208
2019-12-04,10,14.402
2019-12-04,11,24.734
2019-12-04,12,28.427
2019-12-04,13,34.357
2019-12-04,14,46.871
2019-12-04,15,44.691
2019-12-04,16,47.141
2019-12-04,17,41.533
2019-12-04,18,39.029
2019-12-04,19,48.98
2019-12-04,20,54.743
2019-12-04,21,70.9
2019-12-04,22,78.205
2019-12-04,23,75.357
2019-12-04,24,77.805
2019-12-05,1,85.333
2019-12-05,2,91.454
2019-12-05,3,92.505
2019-12-05,4,90.391
2019-12-05,5,80.521
2019-12-05,6,85.458
2019-12-05,7,52.956
2019-12-05,8,26.997
2019-12-05,9,10.407
2019-12-05,10,17.923
2019-12-05,11,58.332
2019-12-05,12,87.984
2019-12-05,13,132.166
2019-12-05,14,187.528
2019-12-05,15,194.684
2019-12-05,16,184.325
2019-12-05,17,192.816
2019-12-05,18,219.469
2019-12-05,19,217.099
2019-12-05,20,204.12
2019-12-05,21,193.127
2019-12-05,22,189.027
2019-12-05,23,177.345
2019-12-05,24,123.122
2019-12-06,1,199.654
2019-12-06,2,210.237
2019-12-06,3,189.976
2019-12-06,4,174.164
2019-12-06,5,174.518
2019-12-06,6,184.294
2019-12-06,7,166.342
2019-12-06,8,144.861
2019-12-06,9,145.257
2019-12-06,10,179.166
2019-12-06,11,181.034
2019-12-06,12,176.248
2019-12-06,13,164.218
2019-12-06,14,180.212
2019-12-06,15,193.454
2019-12-06,16,178.784
2019-12-06,17,151.233
2019-12-06,18,123.122
2019-12-06,19,136.868
2019-12-06,20,146.981
2019-12-06,21,174.385
2019-12-06,22,177.701
2019-12-06,23,193.107
2019-12-06,24,191.439
2019-12-07,1,179.8
2019-12-07,2,173.789
2019-12-07,3,146.587
2019-12-07,4,144.977
2019-12-07,5,172.058
2019-12-07,6,159.582
2019-12-07,7,180.142
2019-12-07,8,186.861
2019-12-07,9,170.869
2019-12-07,10,167.911
2019-12-07,11,177.185
2019-12-07,12,172.192
2019-12-07,13,117.378
2019-12-07,14,81.279
2019-12-07,15,119.869
2019-12-07,16,150.47
2019-12-07,17,153.374
2019-12-07,18,164.077
2019-12-07,19,157.169
2019-12-07,20,137.621
2019-12-07,21,157.745
2019-12-07,22,143.429
2019-12-07,23,134.61
2019-12-07,24,102.146
2019-12-08,1,75.96
2019-12-08,2,72.649
2019-12-08,3,65.905
2019-12-08,4,106.81
2019-12-08,5,126.577
2019-12-08,6,115.207
2019-12-08,7,84.191
2019-12-08,8,61.269
2019-12-08,9,72.661
2019-12-08,10,83.909
2019-12-08,11,86.328
2019-12-08,12,76.235
2019-12-08,13,74.39
2019-12-08,14,72.531
2019-12-08,15,82.281
2019-12-08,16,85.915
2019-12-08,17,67.719
2019-12-08,18,64.337
2019-12-08,19,67.135
2019-12-08,20,60.46
2019-12-08,21,55.139
2019-12-08,22,43.886
2019-12-08,23,41.106
2019-12-08,24,25.363
2019-12-09,1,28.139
2019-12-09,2,31.92
2019-12-09,3,20.549
2019-12-09,4,22.507
2019-12-09,5,28.198
2019-12-09,6,30.144
2019-12-09,7,20.079
2019-12-09,8,13.902
2019-12-09,9,4.999
2019-12-09,10,1.092
2019-12-09,11,2.157
2019-12-09,12,6.872
2019-12-09,13,8.982
2019-12-09,14,8.157
2019-12-09,15,6.339
2019-12-09,16,3.362
2019-12-09,17,1.678
2019-12-09,18,2.779
2019-12-09,19,1.996
2019-12-09,20,2.511
2019-12-09,21,5.22
2019-12-09,22,12.545
2019-12-09,23,20.377
2019-12-09,24,14.526
2019-12-10,1,23.142
2019-12-10,2,22.229
2019-12-10,3,33.365
2019-12-10,4,40.025
2019-12-10,5,23.698
2019-12-10,6,12.141
2019-12-10,7,11.938
2019-12-10,8,10.826
2019-12-10,9,4.962
2019-12-10,10,5.374
2019-12-10,11,7.981
2019-12-10,12,11.395
2019-12-10,13,17.938
2019-12-10,14,23.879
2019-12-10,15,18.815
2019-12-10,16,10.911
2019-12-10,17,9.364
2019-12-10,18,10.234
2019-12-10,19,22.43
2019-12-10,20,32.347
2019-12-10,21,22.917
2019-12-10,22,23.153
2019-12-10,23,24.658
2019-12-10,24,13.714
2019-12-11,1,18.378
2019-12-11,2,19.185
2019-12-11,3,16.686
2019-12-11,4,14.259
2019-12-11,5,2.722
2019-12-11,6,6.449
2019-12-11,7,12.106
2019-12-11,8,13.124
2019-12-11,9,17.456
2019-12-11,10,9.937
2019-12-11,11,20.662
2019-12-11,12,36.399
2019-12-11,13,41.695
2019-12-11,14,73.583
2019-12-11,15,108.596
2019-12-11,16,168.678
2019-12-11,17,204.959
2019-12-11,18,223.364
2019-12-11,19,201.561
2019-12-11,20,222.433
2019-12-11,21,223.974
2019-12-11,22,220.87
2019-12-11,23,217.462
2019-12-11,24,207.745
2019-12-12,1,217.461
2019-12-12,2,220.288
2019-12-12,3,202.92
2019-12-12,4,179.348
2019-12-12,5,167.929
2019-12-12,6,159.486
2019-12-12,7,160.891
2019-12-12,8,137.158
2019-12-12,9,141.549
2019-12-12,10,149.333
2019-12-12,11,114.905
2019-12-12,12,93.618
2019-12-12,13,69.315
2019-12-12,14,62.452
2019-12-12,15,67.736
2019-12-12,16,86.582
2019-12-12,17,92.817
2019-12-12,18,85.671
2019-12-12,19,84.734
2019-12-12,20,89.901
2019-12-12,21,67.778
2019-12-12,22,80.318
2019-12-12,23,72.319
2019-12-12,24,61.655
2019-12-13,1,55.939
2019-12-13,2,36.103
2019-12-13,3,18.581
2019-12-13,4,12.874
2019-12-13,5,11.728
2019-12-13,6,6.064
2019-12-13,7,4.099
2019-12-13,8,1.748
2019-12-13,9,3.317
2019-12-13,10,3.664
2019-12-13,11,4.405
2019-12-13,12,4.535
2019-12-13,13,4.54
2019-12-13,14,4.419
2019-12-13,15,2.575
2019-12-13,16,3.02
2019-12-13,17,2.514
2019-12-13,18,9.302
2019-12-13,19,13.328
2019-12-13,20,12.824
2019-12-13,21,15.068
2019-12-13,22,5.781
2019-12-13,23,1.718
2019-12-13,24,5.964
2019-12-14,1,7.733
2019-12-14,2,10.207
2019-12-14,3,13.321
2019-12-14,4,34.562
2019-12-14,5,56.739
2019-12-14,6,82.702
2019-12-14,7,77.817
2019-12-14,8,89.708
2019-12-14,9,170.462
2019-12-14,10,147.37
2019-12-14,11,147.705
2019-12-14,12,131.269
2019-12-14,13,54.22
2019-12-14,14,57.118
2019-12-14,15,68.094
2019-12-14,16,87.824
2019-12-14,17,66.682
2019-12-14,18,57.357
2019-12-14,19,65.005
2019-12-14,20,77.166
2019-12-14,21,74.071
2019-12-14,22,56.766
2019-12-14,23,31.983
2019-12-14,24,24.205
2019-12-15,1,12.306
2019-12-15,2,9.744
2019-12-15,3,10.11
2019-12-15,4,4.044
2019-12-15,5,4.538
2019-12-15,6,3.987
2019-12-15,7,2.639
2019-12-15,8,5.423
2019-12-15,9,27.734
2019-12-15,10,26.04
2019-12-15,11,32.505
2019-12-15,12,42.766
2019-12-15,13,28.72
2019-12-15,14,21.596
2019-12-15,15,19.398
2019-12-15,16,18.468
2019-12-15,17,15.399
2019-12-15,18,21.724
2019-12-15,19,43.879
2019-12-15,20,38.351
2019-12-15,21,28.224
2019-12-15,22,26.959
2019-12-15,23,31.153
2019-12-15,24,22.474
2019-12-16,1,35.518
2019-12-16,2,27.711
2019-12-16,3,18.643
2019-12-16,4,24.123
2019-12-16,5,21.522
2019-12-16,6,14.617
2019-12-16,7,15.066
2019-12-16,8,23.268
2019-12-16,9,19.171
2019-12-16,10,21.146
2019-12-16,11,35.423
2019-12-16,12,32.134
2019-12-16,13,32.106
2019-12-16,14,38.404
2019-12-16,15,28.429
2019-12-16,16,25.426
2019-12-16,17,27.505
2019-12-16,18,27.507
2019-12-16,19,19.282
2019-12-16,20,16.5
2019-12-16,21,15.949
2019-12-16,22,29.581
2019-12-16,23,37.512
2019-12-16,24,44.624
2019-12-17,1,53.137
2019-12-17,2,56.166
2019-12-17,3,39.898
2019-12-17,4,27.722
2019-12-17,5,41.022
2019-12-17,6,41.184
2019-12-17,7,44.509
2019-12-17,8,39.332
2019-12-17,9,32.98
2019-12-17,10,48.025
2019-12-17,11,69.845
2019-12-17,12,33.602
2019-12-17,13,34.12
2019-12-17,14,71.877
2019-12-17,15,81.939
2019-12-17,16,120.514
2019-12-17,17,184.7
2019-12-17,18,183.522
2019-12-17,19,222.333
2019-12-17,20,234.645
2019-12-17,21,224.356
2019-12-17,22,232.891
2019-12-17,23,246.325
2019-12-17,24,226.342
2019-12-18,1,210.828
2019-12-18,2,155.657
2019-12-18,3,143.282
2019-12-18,4,149.661
2019-12-18,5,160.148
2019-12-18,6,179.003
2019-12-18,7,204.579
2019-12-18,8,219.379
2019-12-18,9,213.874
2019-12-18,10,225.339
2019-12-18,11,226.901
2019-12-18,12,174.773
2019-12-18,13,110.005
2019-12-18,14,127.519
2019-12-18,15,144.238
2019-12-18,16,184.848
2019-12-18,17,207.835
2019-12-18,18,224.904
2019-12-18,19,227.237
2019-12-18,20,218.568
2019-12-18,21,209.636
2019-12-18,22,223.956
2019-12-18,23,217.072
2019-12-18,24,190.177
2019-12-19,1,207.104
2019-12-19,2,200.137
2019-12-19,3,207.314
2019-12-19,4,205.579
2019-12-19,5,218.984
2019-12-19,6,219.67
2019-12-19,7,199.083
2019-12-19,8,187.24
2019-12-19,9,203.064
2019-12-19,10,209.709
2019-12-19,11,206.783
2019-12-19,12,212.932
2019-12-19,13,201.853
2019-12-19,14,209.116
2019-12-19,15,207.921
2019-12-19,16,200.081
2019-12-19,17,186.531
2019-12-19,18,189.202
2019-12-19,19,217.96
2019-12-19,20,233.518
2019-12-19,21,210.494
2019-12-19,22,190.558
2019-12-19,23,190.167
2019-12-19,24,159.343
2019-12-20,1,119.004
2019-12-20,2,116.567
2019-12-20,3,100.945
2019-12-20,4,95.148
2019-12-20,5,87.159
2019-12-20,6,91.233
2019-12-20,7,85.541
2019-12-20,8,69.522
2019-12-20,9,39.612
2019-12-20,10,29.683
2019-12-20,11,46.662
2019-12-20,12,68.197
2019-12-20,13,105.817
2019-12-20,14,117.999
2019-12-20,15,112.237
2019-12-20,16,91.319
2019-12-20,17,68.556
2019-12-20,18,59.543
2019-12-20,19,63.085
2019-12-20,20,64.403
2019-12-20,21,68.22
2019-12-20,22,76.794
2019-12-20,23,57.439
2019-12-20,24,32.6
2019-12-21,1,38.053
2019-12-21,2,38.044
2019-12-21,3,55.281
2019-12-21,4,83.361
2019-12-21,5,72.13
2019-12-21,6,116.057
2019-12-21,7,99.649
2019-12-21,8,57.835
2019-12-21,9,46.518
2019-12-21,10,45.39
2019-12-21,11,30.008
2019-12-21,12,25.144
2019-12-21,13,17.015
2019-12-21,14,20.462
2019-12-21,15,13.869
2019-12-21,16,12.299
2019-12-21,17,9.087
2019-12-21,18,25.814
2019-12-21,19,36.887
2019-12-21,20,58.404
2019-12-21,21,70.026
2019-12-21,22,56.28
2019-12-21,23,52.087
2019-12-21,24,52.716
2019-12-22,1,48.212
2019-12-22,2,82.87
2019-12-22,3,79.243
2019-12-22,4,71.595
2019-12-22,5,50.342
2019-12-22,6,48.52
2019-12-22,7,67.084
2019-12-22,8,91.738
2019-12-22,9,129.584
2019-12-22,10,133.901
2019-12-22,11,140.385
2019-12-22,12,128.794
2019-12-22,13,71.753
2019-12-22,14,70.227
2019-12-22,15,70.77
2019-12-22,16,55.45
2019-12-22,17,38.462
2019-12-22,18,26.61
2019-12-22,19,32.342
2019-12-22,20,18.167
2019-12-22,21,17.863
2019-12-22,22,9.392
2019-12-22,23,13.571
2019-12-22,24,15.541
2019-12-23,1,10.396
2019-12-23,2,25.985
2019-12-23,3,43.866
2019-12-23,4,52.294
2019-12-23,5,62.861
2019-12-23,6,71.019
2019-12-23,7,101.321
2019-12-23,8,98.597
2019-12-23,9,67.044
2019-12-23,10,70.371
2019-12-23,11,80.607
2019-12-23,12,73.556
2019-12-23,13,67.259
2019-12-23,14,117.994
2019-12-23,15,118.938
2019-12-23,16,129.223
2019-12-23,17,148.404
2019-12-23,18,143.629
2019-12-23,19,120.902
2019-12-23,20,121.153
2019-12-23,21,120.871
2019-12-23,22,121.458
2019-12-23,23,120.566
2019-12-23,24,102.745
2019-12-24,1,97.486
2019-12-24,2,101.799
2019-12-24,3,89.728
2019-12-24,4,93.231
2019-12-24,5,101.998
2019-12-24,6,88.332
2019-12-24,7,52.027
2019-12-24,8,50.11
2019-12-24,9,51.502
2019-12-24,10,40.643
2019-12-24,11,30.3
2019-12-24,12,30.415
2019-12-24,13,21.931
2019-12-24,14,28.706
2019-12-24,15,15.901
2019-12-24,16,3.771
2019-12-24,17,3.325
2019-12-24,18,2.144
2019-12-24,19,1.298
2019-12-24,20,5.96
2019-12-24,21,14.149
2019-12-24,22,8.051
2019-12-24,23,4.684
2019-12-24,24,4.213
2019-12-25,1,5.685
2019-12-25,2,2.029
2019-12-25,3,0.806
2019-12-25,4,1.036
2019-12-25,5,1.842
2019-12-25,6,1.533
2019-12-25,7,2.323
2019-12-25,8,4.723
2019-12-25,9,12.001
2019-12-25,10,10.366
2019-12-25,11,9.853
2019-12-25,12,4.91
2019-12-25,13,5.582
2019-12-25,14,16.024
2019-12-25,15,18.413
2019-12-25,16,16.031
2019-12-25,17,15.053
2019-12-25,18,43.257
2019-12-25,19,57.764
2019-12-25,20,63.013
2019-12-25,21,39.637
2019-12-25,22,31.293
2019-12-25,23,28.181
2019-12-25,24,11.984
2019-12-26,1,9.942
2019-12-26,2,12.852
2019-12-26,3,3.608
2019-12-26,4,3.267
2019-12-26,5,14.558
2019-12-26,6,58.473
2019-12-26,7,43.867
2019-12-26,8,25.943
2019-12-26,9,22.068
2019-12-26,10,21.062
2019-12-26,11,26.367
2019-12-26,12,87.155
2019-12-26,13,210.029
2019-12-26,14,247.498
2019-12-26,15,262.135
2019-12-26,16,258.447
2019-12-26,17,255.393
2019-12-26,18,241.468
2019-12-26,19,224.796
2019-12-26,20,227.44
2019-12-26,21,232.7
2019-12-26,22,224.594
2019-12-26,23,225.017
2019-12-26,24,232.63
2019-12-27,1,236.848
2019-12-27,2,235.86
2019-12-27,3,238.578
2019-12-27,4,242.65
2019-12-27,5,244.147
2019-12-27,6,244.636
2019-12-27,7,235.956
2019-12-27,8,217.591
2019-12-27,9,203.296
2019-12-27,10,172.68
2019-12-27,11,158.955
2019-12-27,12,140.857
2019-12-27,13,144.599
2019-12-27,14,137.274
2019-12-27,15,125.075
2019-12-27,16,131.118
2019-12-27,17,130.078
2019-12-27,18,107.607
2019-12-27,19,101.822
2019-12-27,20,74.303
2019-12-27,21,51.675
2019-12-27,22,35.77
2019-12-27,23,28.021
2019-12-27,24,24.174
2019-12-28,1,26.562
2019-12-28,2,37.708
2019-12-28,3,36.625
2019-12-28,4,30.628
2019-12-28,5,18.973
2019-12-28,6,23.381
2019-12-28,7,29.03
2019-12-28,8,18.351
2019-12-28,9,12.158
2019-12-28,10,13.632
2019-12-28,11,12.731
2019-12-28,12,5.932
2019-12-28,13,2.662
2019-12-28,14,4.881
2019-12-28,15,4.111
2019-12-28,16,2.176
2019-12-28,17,1.302
2019-12-28,18,1.1
2019-12-28,19,1.024
2019-12-28,20,2.425
2019-12-28,21,3.329
2019-12-28,22,3.232
2019-12-28,23,4.314
2019-12-28,24,6.337
2019-12-29,1,11.004
2019-12-29,2,12.174
2019-12-29,3,19.552
2019-12-29,4,28.988
2019-12-29,5,27.115
2019-12-29,6,39.886
2019-12-29,7,36.218
2019-12-29,8,33.659
2019-12-29,9,59.429
2019-12-29,10,53.559
2019-12-29,11,61.434
2019-12-29,12,56.496
2019-12-29,13,63.476
2019-12-29,14,57.592
2019-12-29,15,59.28
2019-12-29,16,64.133
2019-12-29,17,90.563
2019-12-29,18,95.69
2019-12-29,19,89.987
2019-12-29,20,118.193
2019-12-29,21,106.595
2019-12-29,22,72.268
2019-12-29,23,54.592
2019-12-29,24,47.441
2019-12-30,1,17.664
2019-12-30,2,36.81
2019-12-30,3,43.234
2019-12-30,4,41.393
2019-12-30,5,44.965
2019-12-30,6,73.72
2019-12-30,7,85.729
2019-12-30,8,52.134
2019-12-30,9,59.075
2019-12-30,10,62.541
2019-12-30,11,50.389
2019-12-30,12,65.95
2019-12-30,13,63.664
2019-12-30,14,101.1
2019-12-30,15,133.548
2019-12-30,16,184.269
2019-12-30,17,195.244
2019-12-30,18,189.864
2019-12-30,19,191.099
2019-12-30,20,224.333
2019-12-30,21,240.566
2019-12-30,22,243.799
2019-12-30,23,246.715
2019-12-30,24,241.969
2019-12-31,1,232.806
2019-12-31,2,232.187
2019-12-31,3,225.289
2019-12-31,4,227.832
2019-12-31,5,214.567
2019-12-31,6,217.282
2019-12-31,7,212.589
2019-12-31,8,220.307
2019-12-31,9,227.996
2019-12-31,10,229.339
2019-12-31,11,216.633
2019-12-31,12,225.665
2019-12-31,13,223.87
2019-12-31,14,222.347
2019-12-31,15,225.724
2019-12-31,16,232.442
2019-12-31,17,230.57
2019-12-31,18,220.245
2019-12-31,19,213.206
2019-12-31,20,204.969
2019-12-31,21,198.702
2019-12-31,22,179.385
2019-12-31,23,151.647
2019-12-31,24,135.199
2020-01-01,1,147.164
2020-01-01,2,114.776
2020-01-01,3,108.452
