date,hour,windpower
2019-12-01,1,0.05
2019-12-01,2,0.051
2019-12-01,3,0.051
2019-12-01,4,0.051
2019-12-01,5,0.052
2019-12-01,6,0.051
2019-12-01,7,0.048
2019-12-01,8,0.34
2019-12-01,9,2.471
2019-12-01,10,6.132
2019-12-01,11,8.495
2019-12-01,12,9.071
2019-12-01,13,9.423
2019-12-01,14,6.655
2019-12-01,15,5.966
2019-12-01,16,2.977
2019-12-01,17,1.291
2019-12-01,18,0.201
2019-12-01,19,0.048
2019-12-01,20,0.049
2019-12-01,21,0.054
2019-12-01,22,0.051
2019-12-01,23,0.053
2019-12-01,24,0.049
2019-12-02,1,0.052
2019-12-02,2,0.051
2019-12-02,3,0.049
2019-12-02,4,0.051
2019-12-02,5,0.051
2019-12-02,6,0.052
2019-12-02,7,0.047
2019-12-02,8,0.911
2019-12-02,9,12.369
2019-12-02,10,38.229
2019-12-02,11,31.948
2019-12-02,12,69.247
2019-12-02,13,114.599
2019-12-02,14,107.596
2019-12-02,15,79.893
2019-12-02,16,26.282
2019-12-02,17,6.602
2019-12-02,18,0.13
2019-12-02,19,0.056
2019-12-02,20,0.104
2019-12-02,21,0.058
2019-12-02,22,0.053
2019-12-02,23,0.052
2019-12-02,24,0.053
2019-12-03,1,0.053
2019-12-03,2,0.053
2019-12-03,3,0.053
2019-12-03,4,0.053
2019-12-03,5,0.049
2019-12-03,6,0.052
2019-12-03,7,0.047
2019-12-03,8,0.441
2019-12-03,9,9.699
2019-12-03,10,15.277
2019-12-03,11,20.759
2019-12-03,12,25.741
2019-12-03,13,37.777
2019-12-03,14,73.152
2019-12-03,15,48.166
2019-12-03,16,27.152
2019-12-03,17,6.364
2019-12-03,18,0.018
2019-12-03,19,0.098
2019-12-03,20,0.04
2019-12-03,21,0.053
2019-12-03,22,0.055
2019-12-03,23,0.053
2019-12-03,24,0.053
2019-12-04,1,0.052
2019-12-04,2,0.052
2019-12-04,3,0.046
2019-12-04,4,0.05
2019-12-04,5,0.048
2019-12-04,6,0.05
2019-12-04,7,0.047
2019-12-04,8,1.95
2019-12-04,9,28.319
2019-12-04,10,90.407
2019-12-04,11,108.034
2019-12-04,12,99.178
2019-12-04,13,88.771
2019-12-04,14,74.914
2019-12-04,15,56.123
2019-12-04,16,40.061
2019-12-04,17,13.311
2019-12-04,18,0.068
2019-12-04,19,0.0
2019-12-04,20,0.097
2019-12-04,21,0.07
2019-12-04,22,0.053
2019-12-04,23,0.072
2019-12-04,24,0.054
2019-12-05,1,0.055
2019-12-05,2,0.049
2019-12-05,3,0.049
2019-12-05,4,0.051
2019-12-05,5,0.051
2019-12-05,6,0.05
2019-12-05,7,0.051
2019-12-05,8,1.015
2019-12-05,9,27.192
2019-12-05,10,53.091
2019-12-05,11,39.958
2019-12-05,12,48.529
2019-12-05,13,70.082
2019-12-05,14,84.444
2019-12-05,15,68.821
2019-12-05,16,41.614
2019-12-05,17,12.459
2019-12-05,18,0.277
2019-12-05,19,0.136
2019-12-05,20,0.047
2019-12-05,21,0.039
2019-12-05,22,0.062
2019-12-05,23,0.052
2019-12-05,24,0.0
2019-12-06,1,0.052
